"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELINFRA","EQ","26-Mar-2025","237.80","237.90","262.40","237.70","254.00","253.78","254.60","1,57,71,087","4,01,52,79,044.20","1,27,437","47,02,093","29.81"
"RELINFRA","EQ","27-Mar-2025","253.78","254.00","257.90","250.00","255.36","255.12","253.28","85,50,177","2,16,56,07,370.31","58,633","38,43,561","44.95"
"RELINFRA","EQ","28-Mar-2025","255.12","257.10","267.95","257.00","258.00","258.64","262.20","68,81,450","1,80,43,50,103.14","65,002","22,77,493","33.10"
"RELINFRA","EQ","01-Apr-2025","258.64","254.90","262.00","252.10","254.15","254.25","256.13","25,77,736","66,02,28,715.50","29,800","7,76,456","30.12"
"SBIN","EQ","25-Mar-2025","780.80","783.90","786.00","769.20","770.35","772.85","777.02","1,51,90,143","11,80,30,03,386.50","2,27,394","82,57,689","54.36"
"SBIN","EQ","26-Mar-2025","772.85","772.00","776.05","761.45","762.70","764.00","767.90","77,11,852","5,92,19,02,187.95","1,95,361","41,88,367","54.31"
"SBIN","EQ","27-Mar-2025","764.00","763.80","775.80","760.50","772.05","772.30","770.57","1,56,48,616","12,05,83,72,899.40","1,75,954","1,04,29,907","66.65"
"SBIN","EQ","28-Mar-2025","772.30","772.10","778.60","767.00","771.20","771.50","773.30","76,28,185","5,89,88,86,414.55","1,19,920","38,81,056","50.88"
"SBIN","EQ","01-Apr-2025","771.50","766.80","782.75","763.20","771.25","771.70","772.17","70,11,125","5,41,37,77,287.45","2,14,639","28,59,726","40.79"
"TATAPOWER","EQ","25-Mar-2025","383.30","385.00","385.90","375.50","376.00","377.10","380.02","60,63,608","2,30,43,20,943.55","71,371","20,89,263","34.46"
"TATAPOWER","EQ","26-Mar-2025","377.10","377.10","381.00","374.60","375.50","376.00","378.19","80,48,272","3,04,37,42,668.40","61,973","41,13,942","51.12"
"TATAPOWER","EQ","27-Mar-2025","376.00","374.50","384.80","372.35","384.05","383.40","379.10","62,87,597","2,38,36,47,702.70","64,805","27,53,447","43.79"
"TATAPOWER","EQ","28-Mar-2025","383.40","384.05","386.05","373.30","375.20","375.40","379.13","64,58,106","2,44,84,60,667.70","66,708","25,38,196","39.30"
"TATAPOWER","EQ","01-Apr-2025","375.40","372.45","379.75","370.60","375.00","374.75","375.80","34,14,174","1,28,30,47,591.70","45,826","10,16,307","29.77"
"TCS","EQ","25-Mar-2025","3,628.95","3,645.00","3,710.00","3,638.00","3,641.00","3,657.75","3,673.54","31,35,390","11,51,79,85,340.80","1,81,313","16,75,966","53.45"
"TCS","EQ","26-Mar-2025","3,657.75","3,647.75","3,680.50","3,625.85","3,630.55","3,635.80","3,656.16","17,34,499","6,34,15,97,992.40","1,41,204","11,25,435","64.89"
"TCS","EQ","27-Mar-2025","3,635.80","3,614.85","3,663.00","3,610.50","3,645.00","3,651.20","3,649.02","25,28,474","9,22,64,48,354.45","1,25,080","17,51,050","69.25"
"TCS","EQ","28-Mar-2025","3,651.20","3,651.00","3,660.95","3,591.90","3,604.00","3,606.15","3,613.75","20,51,919","7,41,51,24,946.40","1,29,740","14,28,630","69.62"
"TCS","EQ","01-Apr-2025","3,606.15","3,572.70","3,584.00","3,525.00","3,556.45","3,550.80","3,548.01","26,18,493","9,29,04,45,221.40","1,67,344","16,72,092","63.86"
"VOLTAS","EQ","25-Mar-2025","1,449.10","1,453.00","1,454.50","1,418.00","1,421.10","1,422.05","1,430.43","13,06,047","1,86,82,12,323.50","64,245","6,62,597","50.73"
"VOLTAS","EQ","26-Mar-2025","1,422.05","1,430.00","1,436.00","1,416.55","1,430.00","1,428.65","1,426.43","13,05,728","1,86,25,26,978.35","52,198","7,10,415","54.41"
"VOLTAS","EQ","27-Mar-2025","1,428.65","1,420.00","1,435.00","1,413.65","1,428.00","1,423.40","1,423.73","16,82,189","2,39,49,81,260.90","54,322","9,60,709","57.11"
"VOLTAS","EQ","28-Mar-2025","1,423.40","1,430.00","1,469.80","1,428.00","1,461.00","1,458.70","1,449.37","21,04,275","3,04,98,78,525.40","60,953","14,00,391","66.55"
"VOLTAS","EQ","01-Apr-2025","1,458.70","1,430.00","1,430.00","1,347.85","1,348.40","1,352.05","1,373.51","39,09,338","5,36,94,98,523.35","1,70,504","14,13,567","36.16"
